Rooms,Width,Height
elevator,315,205
master bedroom,380,450
kid bedroom,300,390
guest room,335,335
toilet A,175,355
toilet B,205,225
balcony A,740,150
balcony B,0,0
living room,440,390
dinner space,355,190
kitchen,355,255
laundry,0,0
