Rooms,Width,Height
elevator,220,175
master bedroom,325,415
kid bedroom,325,340
guest room,320,415
toilet A,325,210
toilet B,325,210
balcony A,740,150
balcony B,0,0
living room,405,480
dinner space,265,225
kitchen,265,315
laundry,0,0
